YEAR ,MONTH,INDEX
2006,1.20E+01,-1.56E-01
2007,1.00E+00,-4.12E-01
2007,2.00E+00,-1.37E-01
2007,3.00E+00,-5.49E-01
2007,4.00E+00,2.61E-01
2007,5.00E+00,6.92E-01
2007,6.00E+00,1.23E+00
2007,7.00E+00,1.23E+00
2007,8.00E+00,1.44E+00
2007,9.00E+00,9.09E-01
2007,1.00E+01,1.27E+00
2007,1.10E+01,7.28E-01
2007,1.20E+01,4.58E-01
2008,1.00E+00,5.56E-01
2008,2.00E+00,1.14E+00
2008,3.00E+00,1.37E+00
2008,4.00E+00,1.40E+00
2008,5.00E+00,1.74E+00
2008,6.00E+00,1.28E+00
2008,7.00E+00,1.43E+00
2008,8.00E+00,2.14E+00
2008,9.00E+00,2.23E+00
2008,1.00E+01,1.77E+00
2008,1.10E+01,1.97E+00
2008,1.20E+01,4.49E-01
2009,1.00E+00,7.22E-01
2009,2.00E+00,9.09E-01
2009,3.00E+00,3.31E-01
2009,4.00E+00,4.16E-01
2009,5.00E+00,5.54E-01
2009,6.00E+00,3.70E-01
2009,7.00E+00,5.60E-01
2009,8.00E+00,7.18E-01
2009,9.00E+00,9.84E-01
2009,1.00E+01,1.15E+00
2009,1.10E+01,1.05E+00
2009,1.20E+01,1.06E+00
2010,1.00E+00,2.06E+00
2010,2.00E+00,1.84E+00
2010,3.00E+00,1.65E+00
2010,4.00E+00,1.18E+00
2010,5.00E+00,1.87E+00
2010,6.00E+00,1.24E+00
2010,7.00E+00,1.15E+00
2010,8.00E+00,1.08E+00
2010,9.00E+00,1.00E+00
2010,1.00E+01,1.61E+00
2010,1.10E+01,9.88E-01
2010,1.20E+01,7.80E-01
2011,1.00E+00,3.21E-01
2011,2.00E+00,5.49E-01
2011,3.00E+00,1.20E+00
2011,4.00E+00,5.96E-01
2011,5.00E+00,1.39E+00
2011,6.00E+00,1.11E+00
2011,7.00E+00,1.04E+00
2011,8.00E+00,1.04E+00
2011,9.00E+00,1.33E+00
2011,1.00E+01,1.20E+00
2011,1.10E+01,3.74E-01
2011,1.20E+01,1.32E-01
2012,1.00E+00,8.33E-01
2012,2.00E+00,8.62E-01
2012,3.00E+00,1.12E+00
2012,4.00E+00,1.93E+00
2012,5.00E+00,1.63E+00
2012,6.00E+00,1.94E+00
2012,7.00E+00,1.86E+00
2012,8.00E+00,1.73E+00
2012,9.00E+00,1.36E+00
2012,1.00E+01,1.87E+00
2012,1.10E+01,1.40E+00
2012,1.20E+01,1.20E+00
2013,1.00E+00,1.23E+00
2013,2.00E+00,1.20E+00
2013,3.00E+00,6.42E-01
2013,4.00E+00,4.76E-01
2013,5.00E+00,8.52E-01
2013,6.00E+00,7.26E-01
2013,7.00E+00,4.51E-01
2013,8.00E+00,5.61E-01
2013,9.00E+00,3.90E-01
2013,1.00E+01,-1.48E-01
2013,1.10E+01,-8.05E-01
2013,1.20E+01,-1.45E+00
2014,1.00E+00,-3.90E-01
2014,2.00E+00,-2.67E-01
2014,3.00E+00,-4.54E-01
2014,4.00E+00,-6.17E-01
2014,5.00E+00,2.28E-01
2014,6.00E+00,-4.17E-01
2014,7.00E+00,-1.33E-01
2014,8.00E+00,-5.45E-01
2014,9.00E+00,-7.76E-01
2014,1.00E+01,4.25E-01
2014,1.10E+01,3.12E-01
2014,1.20E+01,-3.55E-01
2015,1.00E+00,-5.50E-01
2015,2.00E+00,-1.27E+00
2015,3.00E+00,-1.39E+00
2015,4.00E+00,-1.38E+00
2015,5.00E+00,-7.20E-01
2015,6.00E+00,-1.25E+00
2015,7.00E+00,-1.47E+00
2015,8.00E+00,-1.93E+00
2015,9.00E+00,-2.10E+00
2015,1.00E+01,-1.31E+00
2015,1.10E+01,-2.25E+00
2015,1.20E+01,-1.11E+00
2016,1.00E+00,9.39E-01
2016,2.00E+00,2.30E-01
